label,text
Legitimate Mail,Horrible gal. Me in sch doing some stuff. How come u got mc?
Legitimate Mail,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
Legitimate Mail,"I call you later, don't have network. If urgnt, sms me."
Legitimate Mail,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
Phishing Mail,Please CALL 08712402779 immediately as there is an urgent message waiting for you
Legitimate Mail,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
Legitimate Mail,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
Legitimate Mail,What your plan for pongal?
Legitimate Mail,Just wait till end of march when el nino gets himself. Oh.
Legitimate Mail,"Not yet chikku..going to room nw, i'm in bus.."
Legitimate Mail,Am also doing in cbe only. But have to pay.
Legitimate Mail,Honey boo I'm missing u.
Legitimate Mail,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
Legitimate Mail,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
Legitimate Mail,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
Phishing Mail,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
Legitimate Mail,Ok. No wahala. Just remember that a friend in need ...
Legitimate Mail,I will see in half an hour
Legitimate Mail,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
Legitimate Mail,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
Legitimate Mail,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
Phishing Mail,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
Legitimate Mail,"Tee hee. Off to lecture, cheery bye bye."
Legitimate Mail,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
Legitimate Mail,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
Legitimate Mail,Ok...
Phishing Mail,network operator. The service is free. For T & C's visit 80488.biz
Legitimate Mail,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
Legitimate Mail,Wot u up 2 u weirdo?
Legitimate Mail,Can do lor...
Legitimate Mail,Dont put your phone on silent mode ok
Legitimate Mail,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
Legitimate Mail,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
Legitimate Mail,Oh ho. Is this the first time u use these type of words
Legitimate Mail,Am I the only one who doesn't stalk profiles?
Legitimate Mail,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
Legitimate Mail,Yes i thought so. Thanks.
Legitimate Mail,But if she.s drinkin i'm ok.
Legitimate Mail,"Just wondering, the others just took off"
Legitimate Mail,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
Legitimate Mail,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
Legitimate Mail,Happy new year to u too!
Legitimate Mail,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
Legitimate Mail,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...
Legitimate Mail,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
Legitimate Mail,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
Legitimate Mail,Happy birthday... May all ur dreams come true...
Legitimate Mail,Aiyah u did ok already lar. E nydc at wheellock?
Legitimate Mail,TELL HER I SAID EAT SHIT.
Legitimate Mail,Sure! I am driving but will reach my destination soon.
Legitimate Mail,"K so am I, how much for an 8th? Fifty?"
Legitimate Mail,Your daily text from me – a favour this time
Legitimate Mail,Great to hear you are settling well. So what's happenin wit ola?
Legitimate Mail,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
Legitimate Mail,I tot u reach liao. He said t-shirt.
Legitimate Mail,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
Legitimate Mail,I cant pick the phone right now. Pls send a message
Legitimate Mail,Your right! I'll make the appointment right now.
Legitimate Mail,Designation is software developer and may be she get chennai:)
Phishing Mail,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
Phishing Mail,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
Legitimate Mail,I jokin oni lar.. Ü busy then i wun disturb ü.
Legitimate Mail,"Ok, be careful ! Don't text and drive !"
Legitimate Mail,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
Legitimate Mail,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
Legitimate Mail,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
Legitimate Mail,How abt making some of the pics bigger?
Legitimate Mail,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
Legitimate Mail,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
Legitimate Mail,Why nothing. Ok anyway give me treat
Phishing Mail,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
Legitimate Mail,Ok...
Legitimate Mail,Correct. So how was work today
Legitimate Mail,"Just sent again. Do you scream and moan in bed, princess?"
Legitimate Mail,"I wake up long ago already... Dunno, what other thing?"
Legitimate Mail,Oh just getting even with u.... u?
Legitimate Mail,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
Legitimate Mail,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
Legitimate Mail,Yeah jay's sort of a fucking retard
Legitimate Mail,"Sorry, was in the bathroom, sup"
Phishing Mail,Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
Legitimate Mail,My exam is for february 4. Wish you a great day.
Legitimate Mail,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
Legitimate Mail,"Aight no rush, I'll ask jay"
Legitimate Mail,Good Morning plz call me sir
Legitimate Mail,It's ok lar. U sleep early too... Nite...
Legitimate Mail,"Oh... Icic... K lor, den meet other day..."
Legitimate Mail,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
Legitimate Mail,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
Legitimate Mail,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
Legitimate Mail,Then she buying today? Ü no need to c meh...
Legitimate Mail,Aight sorry I take ten years to shower. What's the plan?
Legitimate Mail,Every monday..nxt week vl be completing..
Legitimate Mail,Might ax well im there.
Legitimate Mail,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
Legitimate Mail,Yeah I'll try to scrounge something up
Legitimate Mail,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
Legitimate Mail,Were somewhere on Fredericksburg
Legitimate Mail,Que pases un buen tiempo or something like that
Legitimate Mail,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
Legitimate Mail,She doesnt need any test.
Legitimate Mail,"Nothing much, chillin at home. Any super bowl plan?"
Phishing Mail,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
Legitimate Mail,Bugis oso near wat...
Legitimate Mail,Yo theres no class tmrw right?
Legitimate Mail,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
Legitimate Mail,"Goodnight, sleep well da please take care pa. Please."
Legitimate Mail,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
Legitimate Mail,Convey my regards to him
Legitimate Mail,U ned to convince him tht its not possible witot hurting his feeling its the main
Legitimate Mail,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
Legitimate Mail,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
Legitimate Mail,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
Legitimate Mail,Yo dude guess who just got arrested the other day
Legitimate Mail,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
Legitimate Mail,What does the dance river do?
Legitimate Mail,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
Legitimate Mail,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
Phishing Mail,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
Legitimate Mail,Bbq this sat at mine from 6ish. Ur welcome 2 come
Legitimate Mail,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …"
Legitimate Mail,Alright. I'm out--have a good night!
Legitimate Mail,Did you try making another butt.
Legitimate Mail,Hope you are feeling great. Pls fill me in. Abiola
Legitimate Mail,I though we shd go out n have some fun so bar in town or something – sound ok?
Legitimate Mail,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
Phishing Mail,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
Phishing Mail,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
Legitimate Mail,We're finally ready fyi
Legitimate Mail,Auntie huai juan never pick up her phone
Phishing Mail,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
Legitimate Mail,"Ya tel, wats ur problem.."
Phishing Mail,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
Legitimate Mail,i dnt wnt to tlk wid u
Legitimate Mail,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!"
Legitimate Mail,Its ok my arm is feeling weak cuz i got a shot so we can go another time
Legitimate Mail,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
Legitimate Mail,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
Legitimate Mail,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
Legitimate Mail,All e best 4 ur exam later.
Legitimate Mail,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
Legitimate Mail,Oh k.i think most of wi and nz players unsold.
Legitimate Mail,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
Legitimate Mail,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
Legitimate Mail,"Haha just kidding, papa needs drugs"
Legitimate Mail,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
Legitimate Mail,Oh ok..
Legitimate Mail,R we still meeting 4 dinner tonight?
Legitimate Mail,Thats cool! I am a gentleman and will treat you with dignity and respect.
Legitimate Mail,Shall i start from hear.
Legitimate Mail,Then we wait 4 u lor... No need 2 feel bad lar...
Legitimate Mail,No did you check? I got his detailed message now
Legitimate Mail,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
Legitimate Mail,"No, I decided that only people who care about stuff vote and caring about stuff is for losers"
Legitimate Mail,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
Legitimate Mail,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
Legitimate Mail,cool. We will have fun practicing making babies!
Legitimate Mail,Actually getting ready to leave the house.
Legitimate Mail,K..k..any special today?
Phishing Mail,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
Legitimate Mail,Then we gotta do it after that
Legitimate Mail,"I've got ten bucks, jay is being noncomittal"
Legitimate Mail,Where at were hungry too
Legitimate Mail,Pls speak to that customer machan.
Legitimate Mail,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
Legitimate Mail,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
Phishing Mail,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
Legitimate Mail,So wats ur opinion abt him and how abt is character?
Legitimate Mail,Jay is snickering and tells me that x is totally fucking up the chords as we speak
Legitimate Mail,No..few hours before.went to hair cut .
Legitimate Mail,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
Legitimate Mail,Lmao. Take a pic and send it to me.
Legitimate Mail,Speak only when you feel your words are better than the silence... Gud mrng:-)
Legitimate Mail,No. She's currently in scotland for that.
Legitimate Mail,Do you work all this week ?
Phishing Mail,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
Legitimate Mail,Lol great now im getting hungry.
Legitimate Mail,Yes.. now only saw your message..
Legitimate Mail,I'll be at mu in like  &lt;#&gt;  seconds
Legitimate Mail,Ok...
Legitimate Mail,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
Legitimate Mail,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up"
Phishing Mail,For sale - arsenal dartboard. Good condition but no doubles or trebles!
Legitimate Mail,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
Legitimate Mail,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
Legitimate Mail,Thanks for ve lovely wisheds. You rock
Legitimate Mail,You intrepid duo you! Have a great time and see you both soon.
Legitimate Mail,I asked sen to come chennai and search for job.
Legitimate Mail,Dad went out oredi...
Legitimate Mail,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
Legitimate Mail,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
Legitimate Mail,"Arms fine, how's Cardiff and uni?"
Legitimate Mail,In fact when do you leave? I think addie goes back to school tues or wed
Legitimate Mail,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)"
Legitimate Mail,Ya:)going for restaurant..
Legitimate Mail,"Its ok., i just askd did u knw tht no?"
Phishing Mail,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
Legitimate Mail,Those ducking chinchillas
Legitimate Mail,I am in a marriage function
Legitimate Mail,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
Legitimate Mail,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
Phishing Mail,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
Legitimate Mail,say thanks2.
Legitimate Mail,Msg me when rajini comes.
Legitimate Mail,Ya! when are ü taking ure practical lessons? I start in june..
Legitimate Mail,"That's good, because I need drugs"
Legitimate Mail,Stupid.its not possible
Legitimate Mail,Can ü all decide faster cos my sis going home liao..
Phishing Mail,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
Legitimate Mail,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
Phishing Mail,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
Legitimate Mail,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
Phishing Mail,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
Legitimate Mail,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
Legitimate Mail,Kinda. First one gets in at twelve! Aah. Speak tomo
Phishing Mail,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
Legitimate Mail,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
Legitimate Mail,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
Phishing Mail,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
Legitimate Mail,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
Legitimate Mail,I wont touch you with out your permission.
Phishing Mail,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
Legitimate Mail,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
Legitimate Mail,Take some small dose tablet for fever
Legitimate Mail,Oh. U must have taken your REAL Valentine out shopping first.
Legitimate Mail,"Just sent you an email – to an address with incomm in it, is that right?"
Legitimate Mail,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
Legitimate Mail,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
Legitimate Mail,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
Legitimate Mail,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
Legitimate Mail,Why you keeping me away like this
Legitimate Mail,I think its far more than that but find out. Check google maps for a place from your dorm.
Legitimate Mail,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
Legitimate Mail,Have you always been saying welp?
Legitimate Mail,"I'm a guy, browsin is compulsory"
Legitimate Mail,Ok...
Legitimate Mail,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
Legitimate Mail,"Sorry, I'll call later"
Legitimate Mail,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
Legitimate Mail,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
Legitimate Mail,I told your number to gautham..
Legitimate Mail,Tell them no need to investigate about me anywhere.
Legitimate Mail,Ok i juz receive..
Legitimate Mail,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
Phishing Mail,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
Legitimate Mail,In the end she might still vomit but its okay. Not everything will come out.
Legitimate Mail,How are you with moneY...as in to you...money aint a thing....how are you sha!
Legitimate Mail,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
Legitimate Mail,Hey gals.. Anyone of u going down to e driving centre tmr?
Legitimate Mail,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
Legitimate Mail,I'm putting it on now. It should be ready for  &lt;TIME&gt;
Legitimate Mail,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
Phishing Mail,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
Legitimate Mail,Host-based IDPS for linux systems.
Phishing Mail,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
Legitimate Mail,Don no da:)whats you plan?
Legitimate Mail,Ill be there on  &lt;#&gt;  ok.
Legitimate Mail,Oh my God. I'm almost home
Legitimate Mail,Total video converter free download type this in google search:)
Phishing Mail,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
Legitimate Mail,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
Legitimate Mail,Sounds like something that someone testing me would sayy
Legitimate Mail,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
Legitimate Mail,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
Legitimate Mail,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
Legitimate Mail,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
Legitimate Mail,Hows the champ just leaving glasgow!
Legitimate Mail,K:)all the best:)congrats...
Legitimate Mail,I wonder if you'll get this text?
Legitimate Mail,I need to come home and give you some good lovin...
Phishing Mail,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
Legitimate Mail,Shall i ask one thing if you dont mistake me.
Legitimate Mail,Check wid corect speling i.e. Sarcasm
Phishing Mail,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
Legitimate Mail,Are you angry with me. What happen dear
Legitimate Mail,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
Legitimate Mail,Yup ok thanx...
Legitimate Mail,Hi:)cts employee how are you?
Legitimate Mail,Pls pls find out from aunt nike.
Legitimate Mail,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
Legitimate Mail,No screaming means shouting..
Legitimate Mail,Hey what happen de. Are you alright.
Legitimate Mail,Should I have picked up a receipt or something earlier
Legitimate Mail,I think chennai well settled?
Legitimate Mail,Oh dang! I didn't mean o send that to you! Lol!
Legitimate Mail,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
Legitimate Mail,Horrible bf... I now v hungry...
Legitimate Mail,Remember on that day..
Phishing Mail,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
Legitimate Mail,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
Legitimate Mail,All sounds good. Fingers . Makes it difficult to type
Legitimate Mail,Midnight at the earliest
Legitimate Mail,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
Legitimate Mail,K come to nordstrom when you're done
Legitimate Mail,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
Legitimate Mail,Now press conference da:)
Phishing Mail,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
Legitimate Mail,After completed degree. There is no use in joining finance.
Legitimate Mail,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
Legitimate Mail,Shant disturb u anymore... Jia you...
Legitimate Mail,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
Legitimate Mail,"Me, i dont know again oh"
Legitimate Mail,Dude sux for snake. He got old and raiden got buff
Legitimate Mail,He says hi and to get your ass back to south tampa (preferably at a kegger)
Legitimate Mail,In e msg jus now. U said thanks for gift.
Legitimate Mail,U too...
Legitimate Mail,Ok how you dear. Did you call chechi
Legitimate Mail,Yeah we do totes. When u wanna?
Legitimate Mail,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
Legitimate Mail,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
Legitimate Mail,Wat r u doing?
Legitimate Mail,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
Legitimate Mail,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
Legitimate Mail,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
Legitimate Mail,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
Legitimate Mail,Dude just saw a parked car with its sunroof popped up. Sux
Legitimate Mail,Get ready to put on your excellent sub face :)
Legitimate Mail,Tmrw. Im finishing 9 doors
Legitimate Mail,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
Legitimate Mail,I am late. I will be there at
Legitimate Mail,"whatever, im pretty pissed off."
